 Surface perimeter
  rad  pla 
 1408 1006
 rho(m) perimeter(m) 
    0.252499         5.74619    
    0.252862         5.75500    
    0.253225         5.76380    
    0.254588         5.79681    
    0.256366         5.83983    
    0.257729         5.87277    
    0.258092         5.88154    
    0.258455         5.89031    
    0.259818         5.92320    
    0.261596         5.96606    
    0.262958         5.99888    
    0.263322         6.00762    
    0.263685         6.01636    
    0.265047         6.04913    
    0.266825         6.09184    
    0.268188         6.12454    
    0.268551         6.13325    
    0.268914         6.14196    
    0.270277         6.17462    
    0.272055         6.21719    
    0.273418         6.24979    
    0.273781         6.25847    
    0.274144         6.26715    
    0.275507         6.29971    
    0.277285         6.34214    
    0.278647         6.37464    
    0.279011         6.38329    
    0.279374         6.39195    
    0.280736         6.42440    
    0.282514         6.46672    
    0.283877         6.49912    
    0.284240         6.50775    
    0.284603         6.51638    
    0.285966         6.54875    
    0.287744         6.59094    
    0.289107         6.62326    
    0.289470         6.63187    
    0.289833         6.64047    
    0.291196         6.67275    
    0.292974         6.71484    
    0.294337         6.74708    
    0.294700         6.75567    
    0.295063         6.76425    
    0.296425         6.79646    
    0.298203         6.83845    
    0.299566         6.87062    
    0.299929         6.87918    
    0.300292         6.88775    
    0.301655         6.91989    
    0.303433         6.96179    
    0.304796         6.99389    
    0.305159         7.00244    
    0.305522         7.01099    
    0.306885         7.04306    
    0.308663         7.08488    
    0.310026         7.11692    
    0.310389         7.12546    
    0.310752         7.13399    
    0.312115         7.16601    
    0.313893         7.20776    
    0.315255         7.23975    
    0.315618         7.24827    
    0.315981         7.25679    
    0.317344         7.28876    
    0.319122         7.33045    
    0.320485         7.36238    
    0.320848         7.37089    
    0.321211         7.37940    
    0.322574         7.41132    
    0.324352         7.45296    
    0.325715         7.48486    
    0.326078         7.49335    
    0.326441         7.50185    
    0.327804         7.53373    
    0.329582         7.57532    
    0.330944         7.60718    
    0.331307         7.61567    
    0.331671         7.62416    
    0.333033         7.65601    
    0.334811         7.69755    
    0.336174         7.72938    
    0.336537         7.73786    
    0.336900         7.74634    
    0.338263         7.77816    
    0.340041         7.81967    
    0.341404         7.85148    
    0.341767         7.85995    
    0.342130         7.86842    
    0.343493         7.90022    
    0.345271         7.94170    
