 Toroidal magnetic field modes (imag)
 1408 1006
              97
     8.70000        0.481094E-08    0.112761E-19    0.655093E-09   -0.294176E-20   -0.198217E-08    0.815647E-20    0.433121E-08   -0.115441E-20   -0.746806E-09
    0.168482E-21    0.109925E-08   -0.466784E-20   -0.798517E-09   -0.253790E-20   -0.198748E-10   -0.674417E-21    0.443448E-10   -0.676477E-21    0.615789E-10
    0.210856E-20   -0.541644E-10   -0.605921E-20    0.787235E-11   -0.687556E-21   -0.374332E-10    0.320906E-20    0.696769E-10    0.233478E-20    0.237321E-09
    0.354188E-20    0.395932E-10    0.143213E-20   -0.858890E-10    0.145913E-20   -0.780794E-10   -0.381563E-21    0.305377E-09    0.210468E-20   -0.854086E-09
   -0.381928E-20    0.123295E-08    0.162946E-20   -0.188807E-07    0.101852E-17   -0.223830E-05   -0.616696E-12   -0.125254E-04    0.125063E-11    0.106590E-02
    0.125063E-11   -0.186128E-05   -0.616696E-12   -0.261806E-05    0.102189E-17    0.428456E-06   -0.263045E-20   -0.915904E-08   -0.508567E-20   -0.582932E-09
    0.223986E-20   -0.112654E-09   -0.471099E-20    0.138743E-09    0.117979E-20   -0.818545E-10    0.296851E-20   -0.189883E-09    0.361635E-20   -0.563034E-10
    0.646634E-20   -0.558021E-09    0.470168E-20   -0.446835E-10   -0.155904E-20    0.399410E-10   -0.641333E-21   -0.397441E-10    0.118496E-20    0.317024E-10
   -0.530851E-20    0.102979E-10   -0.262024E-20    0.978155E-11   -0.452986E-20    0.103851E-10   -0.221276E-20    0.225733E-11    0.270447E-20    0.900608E-11
   -0.145858E-20   -0.569777E-11    0.512144E-20   -0.892263E-11   -0.118509E-20    0.376029E-11    0.821476E-20    0.650021E-11
     8.70139        0.358552E-08    0.552785E-09    0.386002E-09    0.237821E-09   -0.122509E-08   -0.266901E-10    0.352790E-08    0.498791E-09   -0.505573E-09
    0.201326E-09    0.597640E-09    0.103357E-09   -0.607135E-09   -0.528793E-09    0.286239E-09   -0.278861E-09    0.201843E-09    0.724490E-10   -0.278113E-09
   -0.333349E-10   -0.157807E-10    0.297241E-09    0.392052E-10    0.472391E-09   -0.111872E-08    0.820997E-09   -0.204281E-08   -0.139600E-08   -0.107614E-08
   -0.353503E-09    0.487040E-08    0.419416E-08    0.131770E-08   -0.266314E-08   -0.177587E-08   -0.116404E-08   -0.787563E-09    0.311644E-08   -0.224658E-08
   -0.214804E-08    0.719114E-08   -0.584319E-08   -0.116031E-07    0.559282E-07   -0.137290E-05   -0.115960E-05   -0.212057E-05   -0.491133E-04    0.105962E-02
    0.393400E-03   -0.249395E-04   -0.712527E-06    0.275449E-05    0.381443E-06    0.327692E-06   -0.303805E-07    0.384879E-08    0.292130E-09   -0.570651E-08
   -0.323268E-09   -0.478745E-08    0.107186E-08    0.211264E-08   -0.119085E-08   -0.131787E-08    0.336486E-08    0.947095E-09    0.889418E-09   -0.198568E-08
   -0.911181E-09    0.291712E-08    0.854148E-09    0.944545E-09   -0.149480E-08   -0.271502E-09   -0.205196E-09    0.406738E-09   -0.474531E-09   -0.768973E-09
   -0.873446E-09   -0.971222E-10   -0.675155E-10    0.234477E-10   -0.538314E-09   -0.336936E-09   -0.225900E-09    0.110383E-09   -0.628761E-11   -0.207088E-10
   -0.168210E-10    0.269020E-09    0.595463E-09    0.827766E-09    0.829562E-09    0.649207E-09    0.467501E-09    0.231757E-09
     8.70660        0.417088E-09    0.177779E-08   -0.370823E-09    0.723001E-09    0.838442E-09   -0.397486E-10    0.913566E-09    0.196632E-08    0.195016E-09
    0.764339E-09   -0.802093E-09    0.470633E-09   -0.140799E-09   -0.263574E-08    0.144142E-08   -0.135605E-08    0.841744E-09    0.318084E-09   -0.150997E-08
   -0.181530E-09    0.670145E-10    0.145789E-08    0.146937E-09    0.225737E-08   -0.522615E-08    0.391962E-08   -0.987117E-08   -0.649855E-08   -0.581772E-08
   -0.169694E-08    0.229107E-07    0.198436E-07    0.645895E-08   -0.126465E-07   -0.811566E-08   -0.547578E-08   -0.472880E-08    0.148501E-07   -0.788480E-08
   -0.101127E-07    0.299192E-07   -0.241831E-07    0.148252E-08    0.153747E-06    0.189142E-06   -0.123629E-05    0.414179E-04   -0.226723E-03    0.102337E-02
    0.135601E-02   -0.830621E-04   -0.755521E-05    0.200805E-05    0.132012E-05    0.513349E-07   -0.140153E-06    0.494197E-07    0.160014E-08   -0.248356E-07
   -0.150004E-08   -0.223186E-07    0.512424E-08    0.952535E-08   -0.568303E-08   -0.593498E-08    0.157549E-07    0.503192E-08    0.428698E-08   -0.918433E-08
   -0.421635E-08    0.155532E-07    0.396300E-08    0.460316E-08   -0.700824E-08   -0.139597E-08   -0.984337E-09    0.204822E-08   -0.228131E-08   -0.374502E-08
   -0.413881E-08   -0.480469E-09   -0.318534E-09    0.891898E-10   -0.254460E-08   -0.162005E-08   -0.106367E-08    0.526276E-09   -0.212176E-10   -0.119734E-09
   -0.745155E-10    0.129693E-08    0.281908E-08    0.395164E-08    0.392816E-08    0.306144E-08    0.221574E-08    0.107512E-08
     8.71339       -0.321174E-09    0.135774E-08   -0.752724E-09    0.397445E-09    0.168735E-08    0.140712E-09   -0.155894E-08    0.293034E-08    0.618542E-09
    0.104754E-08   -0.147479E-08    0.863149E-09   -0.108591E-09   -0.569892E-08    0.297902E-08   -0.279315E-08    0.173264E-08    0.618112E-09   -0.302509E-08
   -0.414707E-09    0.777846E-10    0.301472E-08    0.276167E-09    0.462807E-08   -0.106900E-07    0.796984E-08   -0.199538E-07   -0.128861E-07   -0.115714E-07
