 Poloidal flux Psi
  rad  pla 
 1408 1006
 rho(m) Psi 
    0.746228         9.02283    
    0.750084         9.12065    
    0.755116         9.24906    
    0.758972         9.34809    
    0.760000         9.37455    
    0.761028         9.40107    
    0.764884         9.50090    
    0.769916         9.63194    
    0.773772         9.73297    
    0.774800         9.75997    
    0.775828         9.78702    
    0.779684         9.88885    
    0.784716         10.0225    
    0.788572         10.1255    
    0.789600         10.1530    
    0.790628         10.1806    
    0.794484         10.2844    
    0.799516         10.4207    
    0.803372         10.5257    
    0.804400         10.5537    
    0.805428         10.5818    
    0.809284         10.6876    
    0.814316         10.8264    
    0.818172         10.9334    
    0.819200         10.9619    
    0.820228         10.9906    
    0.824084         11.0983    
    0.829116         11.2396    
    0.832972         11.3486    
    0.834000         11.3777    
    0.835028         11.4068    
    0.838884         11.5165    
    0.843916         11.6604    
    0.847772         11.7712    
    0.848800         11.8008    
    0.849828         11.8305    
    0.853684         11.9421    
    0.858716         12.0885    
    0.862572         12.2012    
    0.863600         12.2313    
    0.864628         12.2615    
    0.868484         12.3750    
    0.873516         12.5239    
    0.877372         12.6386    
    0.878400         12.6692    
    0.879428         12.6999    
    0.883284         12.8153    
    0.888316         12.9666    
    0.892172         13.0831    
    0.893200         13.1143    
    0.894228         13.1455    
    0.898084         13.2627    
    0.903116         13.4165    
    0.906972         13.5349    
    0.908000         13.5665    
    0.909028         13.5982    
    0.912884         13.7174    
    0.917916         13.8735    
    0.921772         13.9938    
    0.922800         14.0259    
    0.923828         14.0581    
    0.927684         14.1791    
    0.932716         14.3376    
    0.936572         14.4597    
    0.937600         14.4923    
    0.938628         14.5250    
    0.942484         14.6478    
    0.947516         14.8087    
    0.951372         14.9326    
    0.952400         14.9657    
    0.953428         14.9988    
    0.957284         15.1234    
    0.962316         15.2867    
    0.966172         15.4124    
    0.967200         15.4460    
    0.968228         15.4796    
    0.972084         15.6060    
    0.977116         15.7716    
    0.980972         15.8990    
    0.982000         15.9331    
    0.983028         15.9671    
    0.986884         16.0953    
    0.991916         16.2632    
    0.995772         16.3924    
    0.996800         16.4269    
    0.997828         16.4614    
     1.00168         16.5913    
     1.00672         16.7615    
     1.01057         16.8924    
     1.01160         16.9274    
     1.01263         16.9624    
     1.01648         17.0940    
     1.02152         17.2664    
     1.02537         17.3990    
     1.02640         17.4345    
     1.02743         17.4699    
     1.03128         17.6032    
     1.03632         17.7778    
     1.04017         17.9122    
     1.04120         17.9480    
     1.04223         17.9839    
     1.04608         18.1190    
     1.05112         18.2957    
     1.05497         18.4318    
     1.05600         18.4681    
     1.05703         18.5044    
     1.06088         18.6411    
     1.06592         18.8200    
     1.06977         18.9577    
     1.07080         18.9944    
     1.07183         19.0312    
     1.07568         19.1695    
     1.08072         19.3506    
     1.08457         19.4899    
     1.08560         19.5271    
     1.08663         19.5643    
     1.09048         19.7042    
     1.09552         19.8874    
     1.09937         20.0283    
     1.10040         20.0659    
     1.10143         20.1035    
     1.10528         20.2450    
     1.11032         20.4303    
     1.11417         20.5728    
     1.11520         20.6108    
     1.11623         20.6488    
     1.12008         20.7919    
     1.12512         20.9793    
     1.12897         21.1233    
     1.13000         21.1617    
     1.13103         21.2002    
     1.13488         21.3449    
     1.13992         21.5342    
     1.14377         21.6798    
     1.14480         21.7186    
     1.14583         21.7575    
     1.14968         21.9037    
     1.15472         22.0950    
     1.15857         22.2421    
     1.15960         22.2813    
     1.16063         22.3206    
     1.16448         22.4683    
     1.16952         22.6616    
     1.17337         22.8102    
     1.17440         22.8499    
     1.17543         22.8895    
     1.17928         23.0387    
     1.18432         23.2339    
     1.18817         23.3840    
     1.18920         23.4241    
     1.19023         23.4641    
     1.19408         23.6148    
     1.19912         23.8119    
     1.20297         23.9634    
     1.20400         24.0038    
     1.20503         24.0443    
     1.20888         24.1964    
     1.21392         24.3954    
     1.21777         24.5483    
     1.21880         24.5892    
     1.21983         24.6300    
     1.22368         24.7835    
     1.22872         24.9844    
     1.23257         25.1387    
     1.23360         25.1799    
     1.23463         25.2211    
     1.23848         25.3760    
     1.24352         25.5787    
     1.24737         25.7344    
     1.24840         25.7760    
     1.24943         25.8176    
     1.25328         25.9739    
     1.25832         26.1783    
     1.26217         26.3354    
     1.26320         26.3774    
     1.26423         26.4193    
     1.26808         26.5770    
     1.27312         26.7832    
     1.27697         26.9416    
     1.27800         26.9839    
     1.27903         27.0262    
     1.28288         27.1852    
     1.28792         27.3931    
     1.29177         27.5529    
     1.29280         27.5955    
     1.29383         27.6382    
     1.29768         27.7985    
     1.30272         28.0081    
     1.30657         28.1692    
     1.30760         28.2122    
     1.30863         28.2551    
     1.31248         28.4167    
     1.31752         28.6280    
     1.32137         28.7904    
     1.32240         28.8337    
     1.32343         28.8770    
     1.32728         29.0399    
     1.33232         29.2528    
     1.33617         29.4164    
     1.33720         29.4601    
     1.33823         29.5037    
     1.34208         29.6678    
     1.34712         29.8824    
     1.35097         30.0472    
     1.35200         30.0912    
     1.35303         30.1352    
     1.35688         30.3005    
     1.36192         30.5166    
     1.36577         30.6826    
     1.36680         30.7269    
     1.36783         30.7712    
     1.37168         30.9377    
     1.37672         31.1554    
     1.38057         31.3227    
     1.38160         31.3673    
     1.38263         31.4119    
     1.38648         31.5796    
     1.39152         31.7988    
     1.39537         31.9672    
     1.39640         32.0121    
     1.39743         32.0570    
     1.40128         32.2258    
     1.40632         32.4465    
     1.41017         32.6161    
     1.41120         32.6613    
     1.41223         32.7065    
     1.41608         32.8765    
     1.42112         33.0986    
     1.42497         33.2692    
     1.42600         33.3148    
     1.42703         33.3603    
     1.43088         33.5313    
     1.43592         33.7550    
     1.43977         33.9267    
     1.44080         33.9725    
     1.44183         34.0183    
     1.44568         34.1904    
     1.45072         34.4154    
     1.45457         34.5882    
     1.45560         34.6343    
     1.45663         34.6804    
     1.46048         34.8536    
     1.46552         35.0800    
     1.46937         35.2538    
     1.47040         35.3002    
     1.47143         35.3465    
     1.47528         35.5208    
     1.48032         35.7485    
     1.48417         35.9233    
     1.48520         35.9700    
     1.48623         36.0166    
     1.49008         36.1918    
     1.49512         36.4209    
     1.49897         36.5967    
     1.50000         36.6436    
     1.50092         36.6858    
     1.50439         36.8441    
     1.50891         37.0510    
     1.51238         37.2099    
     1.51330         37.2522    
     1.51422         37.2946    
     1.51769         37.4537    
     1.52221         37.6616    
     1.52568         37.8212    
     1.52660         37.8638    
     1.52752         37.9063    
     1.53099         38.0662    
     1.53551         38.2752    
     1.53898         38.4355    
     1.53990         38.4783    
     1.54082         38.5210    
     1.54429         38.6817    
     1.54881         38.8915    
     1.55228         39.0526    
     1.55320         39.0956    
     1.55412         39.1385    
     1.55759         39.2999    
     1.56211         39.5107    
     1.56558         39.6725    
     1.56650         39.7157    
     1.56742         39.7588    
     1.57089         39.9209    
     1.57541         40.1326    
     1.57888         40.2951    
     1.57980         40.3385    
     1.58072         40.3818    
     1.58419         40.5446    
     1.58871         40.7572    
     1.59218         40.9204    
     1.59310         40.9639    
     1.59402         41.0074    
     1.59749         41.1709    
     1.60201         41.3844    
     1.60548         41.5483    
     1.60640         41.5920    
     1.60732         41.6356    
     1.61079         41.7998    
     1.61531         42.0141    
     1.61878         42.1786    
     1.61970         42.2225    
     1.62062         42.2664    
     1.62409         42.4311    
     1.62861         42.6463    
     1.63208         42.8114    
     1.63300         42.8555    
     1.63392         42.8995    
     1.63739         43.0649    
     1.64191         43.2809    
     1.64538         43.4466    
     1.64630         43.4909    
     1.64722         43.5350    
     1.65069         43.7010    
     1.65521         43.9178    
     1.65868         44.0842    
     1.65960         44.1285    
     1.66052         44.1729    
     1.66399         44.3394    
     1.66851         44.5570    
     1.67198         44.7239    
     1.67290         44.7685    
     1.67382         44.8129    
     1.67729         44.9801    
     1.68181         45.1984    
     1.68528         45.3659    
     1.68620         45.4106    
     1.68712         45.4552    
     1.69059         45.6229    
     1.69511         45.8419    
     1.69858         46.0100    
     1.69950         46.0548    
     1.70042         46.0996    
     1.70389         46.2678    
     1.70841         46.4875    
     1.71188         46.6561    
     1.71280         46.7010    
     1.71372         46.7459    
     1.71719         46.9147    
     1.72171         47.1351    
     1.72518         47.3042    
     1.72610         47.3493    
     1.72702         47.3943    
     1.73049         47.5636    
     1.73501         47.7846    
     1.73848         47.9542    
     1.73940         47.9994    
     1.74032         48.0446    
     1.74379         48.2143    
     1.74831         48.4360    
     1.75178         48.6060    
     1.75270         48.6514    
     1.75362         48.6967    
     1.75709         48.8669    
     1.76161         49.0892    
     1.76508         49.2597    
     1.76600         49.3052    
     1.76692         49.3506    
     1.77039         49.5213    
     1.77491         49.7441    
     1.77838         49.9150    
     1.77930         49.9606    
     1.78022         50.0062    
     1.78369         50.1773    
     1.78821         50.4007    
     1.79168         50.5720    
     1.79260         50.6177    
     1.79352         50.6634    
     1.79699         50.8349    
     1.80151         51.0589    
     1.80498         51.2306    
     1.80590         51.2764    
     1.80682         51.3222    
     1.81029         51.4941    
     1.81481         51.7186    
     1.81828         51.8907    
     1.81920         51.9366    
     1.82012         51.9825    
     1.82359         52.1548    
     1.82811         52.3797    
     1.83158         52.5522    
     1.83250         52.5982    
     1.83342         52.6442    
     1.83689         52.8169    
     1.84141         53.0423    
     1.84488         53.2151    
     1.84580         53.2612    
     1.84672         53.3073    
     1.85019         53.4803    
     1.85471         53.7062    
     1.85818         53.8794    
     1.85910         53.9255    
     1.86002         53.9717    
     1.86349         54.1450    
     1.86801         54.3713    
     1.87148         54.5448    
     1.87240         54.5911    
     1.87332         54.6373    
     1.87679         54.8109    
     1.88131         55.0376    
     1.88478         55.2114    
     1.88570         55.2578    
     1.88662         55.3041    
     1.89009         55.4780    
     1.89461         55.7050    
     1.89808         55.8791    
     1.89900         55.9256    
     1.89992         55.9719    
     1.90339         56.1461    
     1.90791         56.3735    
     1.91138         56.5479    
     1.91230         56.5944    
     1.91322         56.6408    
     1.91669         56.8153    
     1.92121         57.0430    
     1.92468         57.2176    
     1.92560         57.2642    
     1.92652         57.3107    
     1.92999         57.4854    
     1.93451         57.7134    
     1.93798         57.8882    
     1.93890         57.9348    
     1.93982         57.9814    
     1.94329         58.1563    
     1.94781         58.3846    
     1.95128         58.5597    
     1.95220         58.6063    
     1.95312         58.6530    
     1.95659         58.8281    
     1.96111         59.0566    
     1.96458         59.2319    
     1.96550         59.2786    
     1.96642         59.3253    
     1.96989         59.5006    
     1.97441         59.7293    
     1.97788         59.9047    
     1.97880         59.9515    
     1.97972         59.9982    
     1.98319         60.1737    
     1.98771         60.4027    
     1.99118         60.5783    
     1.99210         60.6251    
     1.99302         60.6718    
     1.99649         60.8474    
     2.00101         61.0766    
     2.00448         61.2523    
     2.00540         61.2992    
     2.00632         61.3460    
     2.00979         61.5217    
     2.01431         61.7511    
     2.01778         61.9269    
     2.01870         61.9738    
     2.01962         62.0206    
     2.02309         62.1964    
     2.02761         62.4259    
     2.03108         62.6018    
     2.03200         62.6488    
     2.03292         62.6956    
     2.03639         62.8716    
     2.04091         63.1012    
     2.04438         63.2772    
     2.04530         63.3241    
     2.04622         63.3710    
     2.04969         63.5470    
     2.05421         63.7767    
     2.05768         63.9528    
     2.05860         63.9997    
     2.05952         64.0466    
     2.06299         64.2227    
     2.06751         64.4524    
     2.07098         64.6286    
     2.07190         64.6755    
     2.07282         64.7224    
     2.07629         64.8985    
     2.08081         65.1284    
     2.08428         65.3045    
     2.08520         65.3515    
     2.08612         65.3984    
     2.08959         65.5745    
     2.09411         65.8044    
     2.09758         65.9805    
     2.09850         66.0275    
     2.09942         66.0744    
     2.10289         66.2505    
     2.10741         66.4804    
     2.11088         66.6565    
     2.11180         66.7035    
     2.11272         66.7504    
     2.11619         66.9265    
     2.12071         67.1563    
     2.12418         67.3325    
     2.12510         67.3794    
     2.12602         67.4263    
     2.12949         67.6024    
     2.13401         67.8322    
     2.13748         68.0083    
     2.13840         68.0552    
     2.13932         68.1021    
     2.14279         68.2782    
     2.14731         68.5079    
     2.15078         68.6839    
     2.15170         68.7308    
     2.15262         68.7777    
     2.15609         68.9537    
     2.16061         69.1833    
     2.16408         69.3592    
     2.16500         69.4061    
     2.16592         69.4530    
     2.16939         69.6289    
     2.17391         69.8584    
     2.17738         70.0342    
     2.17830         70.0811    
     2.17922         70.1279    
     2.18269         70.3037    
     2.18721         70.5331    
     2.19068         70.7088    
     2.19160         70.7557    
     2.19252         70.8024    
     2.19599         70.9781    
     2.20051         71.2073    
     2.20398         71.3829    
     2.20490         71.4297    
     2.20582         71.4765    
     2.20929         71.6520    
     2.21381         71.8810    
     2.21728         72.0564    
     2.21820         72.1032    
     2.21912         72.1499    
     2.22259         72.3253    
     2.22711         72.5541    
     2.23058         72.7294    
     2.23150         72.7761    
     2.23242         72.8228    
     2.23589         72.9980    
     2.24041         73.2265    
     2.24388         73.4016    
     2.24480         73.4483    
     2.24572         73.4949    
     2.24919         73.6699    
     2.25371         73.8982    
     2.25718         74.0731    
     2.25810         74.1197    
     2.25902         74.1662    
     2.26249         74.3410    
