 Safety factor
  rad  pla 
 1408 1006
 rho(m) q 
    0.761028         1.65959    
    0.764884         1.66015    
    0.769916         1.66087    
    0.773772         1.66143    
    0.774800         1.66158    
    0.775828         1.66173    
    0.779684         1.66229    
    0.784716         1.66302    
    0.788572         1.66358    
    0.789600         1.66374    
    0.790628         1.66389    
    0.794484         1.66445    
    0.799516         1.66520    
    0.803372         1.66578    
    0.804400         1.66593    
    0.805428         1.66609    
    0.809284         1.66667    
    0.814316         1.66744    
    0.818172         1.66804    
    0.819200         1.66819    
    0.820228         1.66835    
    0.824084         1.66896    
    0.829116         1.66975    
    0.832972         1.67037    
    0.834000         1.67054    
    0.835028         1.67070    
    0.838884         1.67133    
    0.843916         1.67216    
    0.847772         1.67281    
    0.848800         1.67298    
    0.849828         1.67315    
    0.853684         1.67381    
    0.858716         1.67468    
    0.862572         1.67535    
    0.863600         1.67554    
    0.864628         1.67572    
    0.868484         1.67641    
    0.873516         1.67732    
    0.877372         1.67803    
    0.878400         1.67822    
    0.879428         1.67841    
    0.883284         1.67913    
    0.888316         1.68009    
    0.892172         1.68084    
    0.893200         1.68104    
    0.894228         1.68124    
    0.898084         1.68200    
    0.903116         1.68301    
    0.906972         1.68379    
    0.908000         1.68400    
    0.909028         1.68422    
    0.912884         1.68502    
    0.917916         1.68608    
    0.921772         1.68691    
    0.922800         1.68713    
    0.923828         1.68735    
    0.927684         1.68819    
    0.932716         1.68931    
    0.936572         1.69018    
    0.937600         1.69042    
    0.938628         1.69065    
    0.942484         1.69154    
    0.947516         1.69271    
    0.951372         1.69363    
    0.952400         1.69387    
    0.953428         1.69412    
    0.957284         1.69505    
    0.962316         1.69629    
    0.966172         1.69725    
    0.967200         1.69751    
    0.968228         1.69777    
    0.972084         1.69875    
    0.977116         1.70004    
    0.980972         1.70105    
    0.982000         1.70132    
    0.983028         1.70159    
    0.986884         1.70262    
    0.991916         1.70398    
    0.995772         1.70503    
    0.996800         1.70532    
    0.997828         1.70560    
     1.00168         1.70668    
     1.00672         1.70810    
     1.01057         1.70920    
     1.01160         1.70950    
     1.01263         1.70980    
     1.01648         1.71092    
     1.02152         1.71241    
     1.02537         1.71356    
     1.02640         1.71387    
     1.02743         1.71418    
     1.03128         1.71536    
     1.03632         1.71691    
     1.04017         1.71811    
     1.04120         1.71843    
     1.04223         1.71876    
     1.04608         1.71998    
     1.05112         1.72160    
     1.05497         1.72285    
     1.05600         1.72319    
     1.05703         1.72352    
     1.06088         1.72480    
     1.06592         1.72648    
     1.06977         1.72778    
     1.07080         1.72813    
     1.07183         1.72848    
     1.07568         1.72980    
     1.08072         1.73155    
     1.08457         1.73290    
     1.08560         1.73327    
     1.08663         1.73363    
     1.09048         1.73500    
     1.09552         1.73682    
     1.09937         1.73822    
     1.10040         1.73860    
     1.10143         1.73897    
     1.10528         1.74040    
     1.11032         1.74228    
     1.11417         1.74373    
     1.11520         1.74412    
     1.11623         1.74451    
     1.12008         1.74598    
     1.12512         1.74793    
     1.12897         1.74943    
     1.13000         1.74983    
     1.13103         1.75024    
     1.13488         1.75176    
     1.13992         1.75377    
     1.14377         1.75532    
     1.14480         1.75574    
     1.14583         1.75616    
     1.14968         1.75773    
     1.15472         1.75981    
     1.15857         1.76141    
     1.15960         1.76184    
     1.16063         1.76227    
     1.16448         1.76390    
     1.16952         1.76603    
     1.17337         1.76769    
     1.17440         1.76813    
     1.17543         1.76858    
     1.17928         1.77025    
     1.18432         1.77245    
     1.18817         1.77416    
     1.18920         1.77461    
     1.19023         1.77507    
     1.19408         1.77680    
     1.19912         1.77906    
     1.20297         1.78082    
     1.20400         1.78129    
     1.20503         1.78176    
     1.20888         1.78353    
     1.21392         1.78587    
     1.21777         1.78767    
     1.21880         1.78815    
     1.21983         1.78864    
     1.22368         1.79046    
     1.22872         1.79286    
     1.23257         1.79471    
     1.23360         1.79521    
     1.23463         1.79571    
     1.23848         1.79758    
     1.24352         1.80004    
     1.24737         1.80195    
     1.24840         1.80245    
     1.24943         1.80297    
     1.25328         1.80489    
     1.25832         1.80742    
     1.26217         1.80937    
     1.26320         1.80989    
     1.26423         1.81042    
     1.26808         1.81239    
     1.27312         1.81498    
     1.27697         1.81698    
     1.27800         1.81752    
