 Poloidal flux derivative dPsi/dr
  rad  pla 
 1408 1006
 rho(m) dPsi/dr 
    0.758972         25.7454    
    0.760000         25.7815    
    0.761028         25.8177    
    0.764884         25.9532    
    0.769916         26.1296    
    0.773772         26.2646    
    0.774800         26.3006    
    0.775828         26.3365    
    0.779684         26.4711    
    0.784716         26.6465    
    0.788572         26.7806    
    0.789600         26.8163    
    0.790628         26.8519    
    0.794484         26.9857    
    0.799516         27.1598    
    0.803372         27.2929    
    0.804400         27.3284    
    0.805428         27.3638    
    0.809284         27.4966    
    0.814316         27.6694    
    0.818172         27.8016    
    0.819200         27.8368    
    0.820228         27.8719    
    0.824084         28.0037    
    0.829116         28.1752    
    0.832972         28.3063    
    0.834000         28.3412    
    0.835028         28.3761    
    0.838884         28.5068    
    0.843916         28.6769    
    0.847772         28.8070    
    0.848800         28.8416    
    0.849828         28.8762    
    0.853684         29.0058    
    0.858716         29.1745    
    0.862572         29.3034    
    0.863600         29.3377    
    0.864628         29.3720    
    0.868484         29.5005    
    0.873516         29.6677    
    0.877372         29.7955    
    0.878400         29.8295    
    0.879428         29.8635    
    0.883284         29.9908    
    0.888316         30.1565    
    0.892172         30.2831    
    0.893200         30.3168    
    0.894228         30.3504    
    0.898084         30.4766    
    0.903116         30.6407    
    0.906972         30.7661    
    0.908000         30.7994    
    0.909028         30.8328    
    0.912884         30.9577    
    0.917916         31.1202    
    0.921772         31.2443    
    0.922800         31.2774    
    0.923828         31.3104    
    0.927684         31.4340    
    0.932716         31.5949    
    0.936572         31.7178    
    0.937600         31.7505    
    0.938628         31.7831    
    0.942484         31.9055    
    0.947516         32.0647    
    0.951372         32.1863    
    0.952400         32.2186    
    0.953428         32.2509    
    0.957284         32.3720    
    0.962316         32.5295    
    0.966172         32.6498    
    0.967200         32.6818    
    0.968228         32.7137    
    0.972084         32.8335    
    0.977116         32.9892    
    0.980972         33.1082    
    0.982000         33.1398    
    0.983028         33.1714    
    0.986884         33.2899    
    0.991916         33.4438    
    0.995772         33.5614    
    0.996800         33.5927    
    0.997828         33.6240    
     1.00168         33.7410    
     1.00672         33.8932    
     1.01057         34.0095    
     1.01160         34.0404    
     1.01263         34.0713    
     1.01648         34.1870    
     1.02152         34.3374    
     1.02537         34.4522    
     1.02640         34.4828    
     1.02743         34.5133    
     1.03128         34.6276    
     1.03632         34.7762    
     1.04017         34.8896    
     1.04120         34.9198    
     1.04223         34.9500    
     1.04608         35.0629    
     1.05112         35.2096    
     1.05497         35.3217    
     1.05600         35.3515    
     1.05703         35.3812    
     1.06088         35.4927    
     1.06592         35.6376    
     1.06977         35.7483    
     1.07080         35.7777    
     1.07183         35.8071    
     1.07568         35.9171    
     1.08072         36.0602    
     1.08457         36.1694    
     1.08560         36.1984    
     1.08663         36.2274    
     1.09048         36.3361    
     1.09552         36.4772    
     1.09937         36.5850    
     1.10040         36.6136    
     1.10143         36.6423    
     1.10528         36.7494    
     1.11032         36.8887    
     1.11417         36.9950    
     1.11520         37.0233    
     1.11623         37.0515    
     1.12008         37.1573    
     1.12512         37.2946    
     1.12897         37.3995    
     1.13000         37.4274    
     1.13103         37.4552    
     1.13488         37.5595    
     1.13992         37.6950    
     1.14377         37.7983    
     1.14480         37.8258    
     1.14583         37.8533    
     1.14968         37.9561    
     1.15472         38.0896    
     1.15857         38.1916    
     1.15960         38.2186    
     1.16063         38.2457    
     1.16448         38.3470    
     1.16952         38.4787    
     1.17337         38.5791    
     1.17440         38.6058    
     1.17543         38.6325    
     1.17928         38.7323    
     1.18432         38.8620    
     1.18817         38.9609    
     1.18920         38.9872    
     1.19023         39.0135    
     1.19408         39.1119    
     1.19912         39.2396    
     1.20297         39.3371    
     1.20400         39.3630    
     1.20503         39.3888    
     1.20888         39.4857    
     1.21392         39.6115    
     1.21777         39.7074    
     1.21880         39.7329    
     1.21983         39.7584    
     1.22368         39.8538    
     1.22872         39.9776    
     1.23257         40.0720    
     1.23360         40.0971    
     1.23463         40.1222    
     1.23848         40.2161    
     1.24352         40.3379    
     1.24737         40.4309    
     1.24840         40.4556    
     1.24943         40.4802    
     1.25328         40.5726    
     1.25832         40.6925    
     1.26217         40.7839    
     1.26320         40.8082    
     1.26423         40.8325    
     1.26808         40.9233    
     1.27312         41.0412    
     1.27697         41.1311    
     1.27800         41.1550    
     1.27903         41.1788    
     1.28288         41.2681    
     1.28792         41.3840    
     1.29177         41.4724    
     1.29280         41.4959    
     1.29383         41.5194    
     1.29768         41.6071    
     1.30272         41.7211    
     1.30657         41.8079    
     1.30760         41.8310    
     1.30863         41.8540    
     1.31248         41.9403    
     1.31752         42.0522    
     1.32137         42.1375    
     1.32240         42.1602    
     1.32343         42.1828    
     1.32728         42.2675    
     1.33232         42.3774    
     1.33617         42.4612    
     1.33720         42.4835    
     1.33823         42.5057    
     1.34208         42.5889    
     1.34712         42.6968    
     1.35097         42.7790    
     1.35200         42.8009    
     1.35303         42.8227    
     1.35688         42.9043    
     1.36192         43.0102    
     1.36577         43.0909    
     1.36680         43.1123    
     1.36783         43.1337    
     1.37168         43.2138    
     1.37672         43.3176    
     1.38057         43.3968    
     1.38160         43.4178    
     1.38263         43.4388    
     1.38648         43.5173    
     1.39152         43.6191    
     1.39537         43.6967    
     1.39640         43.7173    
     1.39743         43.7379    
     1.40128         43.8148    
     1.40632         43.9146    
     1.41017         43.9906    
     1.41120         44.0108    
     1.41223         44.0310    
     1.41608         44.1064    
     1.42112         44.2041    
     1.42497         44.2786    
     1.42600         44.2984    
     1.42703         44.3181    
     1.43088         44.3919    
     1.43592         44.4877    
     1.43977         44.5605    
     1.44080         44.5799    
     1.44183         44.5992    
     1.44568         44.6715    
     1.45072         44.7651    
     1.45457         44.8365    
     1.45560         44.8554    
     1.45663         44.8743    
     1.46048         44.9450    
     1.46552         45.0366    
     1.46937         45.1063    
     1.47040         45.1248    
     1.47143         45.1433    
     1.47528         45.2124    
     1.48032         45.3020    
     1.48417         45.3701    
     1.48520         45.3882    
     1.48623         45.4063    
     1.49008         45.4738    
     1.49512         45.5613    
     1.49897         45.6279    
     1.50000         45.6455    
     1.50092         45.6614    
     1.50439         45.7207    
     1.50891         45.7975    
     1.51238         45.8560    
     1.51330         45.8716    
     1.51422         45.8871    
     1.51769         45.9451    
     1.52221         46.0203    
     1.52568         46.0775    
     1.52660         46.0927    
     1.52752         46.1079    
     1.53099         46.1646    
