 Major radius at Z=Zmag
  rad  pla 
 1408 1006
 rho(m) R(m) 
    0.760000         9.43219    
    0.761028         9.43315    
    0.764884         9.43673    
    0.769916         9.44141    
    0.773772         9.44499    
    0.774800         9.44594    
    0.775828         9.44690    
    0.779684         9.45047    
    0.784716         9.45514    
    0.788572         9.45872    
    0.789600         9.45967    
    0.790628         9.46063    
    0.794484         9.46420    
    0.799516         9.46886    
    0.803372         9.47244    
    0.804400         9.47339    
    0.805428         9.47434    
    0.809284         9.47791    
    0.814316         9.48257    
    0.818172         9.48614    
    0.819200         9.48709    
    0.820228         9.48804    
    0.824084         9.49160    
    0.829116         9.49626    
    0.832972         9.49982    
    0.834000         9.50077    
    0.835028         9.50172    
    0.838884         9.50528    
    0.843916         9.50993    
    0.847772         9.51349    
    0.848800         9.51444    
    0.849828         9.51538    
    0.853684         9.51894    
    0.858716         9.52358    
    0.862572         9.52714    
    0.863600         9.52809    
    0.864628         9.52903    
    0.868484         9.53259    
    0.873516         9.53722    
    0.877372         9.54077    
    0.878400         9.54172    
    0.879428         9.54267    
    0.883284         9.54622    
    0.888316         9.55085    
    0.892172         9.55439    
    0.893200         9.55534    
    0.894228         9.55628    
    0.898084         9.55983    
    0.903116         9.56445    
    0.906972         9.56800    
    0.908000         9.56894    
    0.909028         9.56989    
    0.912884         9.57343    
    0.917916         9.57805    
    0.921772         9.58159    
    0.922800         9.58253    
    0.923828         9.58347    
    0.927684         9.58701    
    0.932716         9.59163    
    0.936572         9.59516    
    0.937600         9.59610    
    0.938628         9.59705    
    0.942484         9.60058    
    0.947516         9.60519    
    0.951372         9.60872    
    0.952400         9.60966    
    0.953428         9.61060    
    0.957284         9.61413    
    0.962316         9.61874    
    0.966172         9.62227    
    0.967200         9.62321    
    0.968228         9.62415    
    0.972084         9.62767    
    0.977116         9.63227    
    0.980972         9.63580    
    0.982000         9.63674    
    0.983028         9.63768    
    0.986884         9.64120    
    0.991916         9.64579    
    0.995772         9.64932    
    0.996800         9.65025    
    0.997828         9.65119    
     1.00168         9.65471    
     1.00672         9.65930    
     1.01057         9.66282    
     1.01160         9.66376    
     1.01263         9.66469    
     1.01648         9.66821    
     1.02152         9.67279    
     1.02537         9.67631    
     1.02640         9.67724    
     1.02743         9.67818    
     1.03128         9.68169    
     1.03632         9.68627    
     1.04017         9.68978    
     1.04120         9.69072    
     1.04223         9.69166    
     1.04608         9.69516    
     1.05112         9.69974    
     1.05497         9.70325    
     1.05600         9.70418    
     1.05703         9.70512    
     1.06088         9.70862    
     1.06592         9.71320    
     1.06977         9.71670    
     1.07080         9.71763    
     1.07183         9.71857    
     1.07568         9.72207    
     1.08072         9.72664    
     1.08457         9.73014    
     1.08560         9.73107    
     1.08663         9.73200    
     1.09048         9.73550    
     1.09552         9.74007    
     1.09937         9.74356    
     1.10040         9.74450    
     1.10143         9.74543    
     1.10528         9.74892    
     1.11032         9.75348    
     1.11417         9.75698    
     1.11520         9.75791    
     1.11623         9.75884    
     1.12008         9.76233    
     1.12512         9.76689    
     1.12897         9.77038    
     1.13000         9.77131    
     1.13103         9.77224    
     1.13488         9.77573    
     1.13992         9.78028    
     1.14377         9.78377    
     1.14480         9.78470    
     1.14583         9.78563    
     1.14968         9.78912    
     1.15472         9.79367    
     1.15857         9.79715    
     1.15960         9.79808    
     1.16063         9.79901    
     1.16448         9.80249    
     1.16952         9.80704    
     1.17337         9.81052    
     1.17440         9.81145    
     1.17543         9.81237    
     1.17928         9.81586    
     1.18432         9.82040    
     1.18817         9.82388    
     1.18920         9.82480    
     1.19023         9.82573    
     1.19408         9.82921    
     1.19912         9.83375    
     1.20297         9.83723    
     1.20400         9.83815    
     1.20503         9.83908    
     1.20888         9.84255    
     1.21392         9.84709    
     1.21777         9.85056    
     1.21880         9.85149    
     1.21983         9.85241    
     1.22368         9.85589    
     1.22872         9.86042    
     1.23257         9.86389    
     1.23360         9.86482    
     1.23463         9.86574    
     1.23848         9.86921    
     1.24352         9.87374    
     1.24737         9.87721    
     1.24840         9.87814    
     1.24943         9.87906    
     1.25328         9.88253    
     1.25832         9.88705    
     1.26217         9.89052    
     1.26320         9.89144    
     1.26423         9.89237    
     1.26808         9.89583    
     1.27312         9.90036    
     1.27697         9.90382    
     1.27800         9.90474    
     1.27903         9.90567    
     1.28288         9.90913    
     1.28792         9.91365    
     1.29177         9.91711    
     1.29280         9.91804    
     1.29383         9.91896    
     1.29768         9.92242    
     1.30272         9.92694    
     1.30657         9.93040    
     1.30760         9.93132    
     1.30863         9.93224    
     1.31248         9.93570    
     1.31752         9.94022    
     1.32137         9.94367    
     1.32240         9.94460    
     1.32343         9.94552    
     1.32728         9.94897    
     1.33232         9.95349    
     1.33617         9.95694    
     1.33720         9.95786    
     1.33823         9.95878    
     1.34208         9.96224    
     1.34712         9.96675    
     1.35097         9.97020    
     1.35200         9.97112    
     1.35303         9.97204    
     1.35688         9.97550    
     1.36192         9.98001    
     1.36577         9.98346    
     1.36680         9.98438    
     1.36783         9.98530    
     1.37168         9.98875    
     1.37672         9.99325    
     1.38057         9.99671    
     1.38160         9.99763    
     1.38263         9.99855    
     1.38648         10.0020    
     1.39152         10.0065    
     1.39537         10.0099    
     1.39640         10.0109    
     1.39743         10.0118    
     1.40128         10.0152    
     1.40632         10.0197    
     1.41017         10.0232    
     1.41120         10.0241    
     1.41223         10.0250    
     1.41608         10.0285    
     1.42112         10.0330    
     1.42497         10.0364    
     1.42600         10.0373    
     1.42703         10.0383    
     1.43088         10.0417    
     1.43592         10.0462    
     1.43977         10.0496    
     1.44080         10.0506    
     1.44183         10.0515    
     1.44568         10.0549    
     1.45072         10.0594    
     1.45457         10.0629    
     1.45560         10.0638    
     1.45663         10.0647    
     1.46048         10.0681    
     1.46552         10.0726    
     1.46937         10.0761    
     1.47040         10.0770    
     1.47143         10.0779    
     1.47528         10.0814    
     1.48032         10.0858    
     1.48417         10.0893    
     1.48520         10.0902    
     1.48623         10.0911    
     1.49008         10.0946    
     1.49512         10.0991    
     1.49897         10.1025    
     1.50000         10.1034    
     1.50092         10.1042    
     1.50439         10.1073    
     1.50891         10.1114    
     1.51238         10.1145    
     1.51330         10.1153    
     1.51422         10.1161    
     1.51769         10.1192    
     1.52221         10.1232    
     1.52568         10.1263    
     1.52660         10.1271    
     1.52752         10.1280    
     1.53099         10.1311    
     1.53551         10.1351    
     1.53898         10.1382    
     1.53990         10.1390    
     1.54082         10.1398    
     1.54429         10.1429    
     1.54881         10.1469    
     1.55228         10.1500    
     1.55320         10.1509    
     1.55412         10.1517    
     1.55759         10.1548    
     1.56211         10.1588    
     1.56558         10.1619    
     1.56650         10.1627    
     1.56742         10.1635    
     1.57089         10.1666    
     1.57541         10.1707    
     1.57888         10.1737    
     1.57980         10.1746    
     1.58072         10.1754    
     1.58419         10.1785    
     1.58871         10.1825    
     1.59218         10.1856    
     1.59310         10.1864    
     1.59402         10.1872    
     1.59749         10.1903    
     1.60201         10.1944    
     1.60548         10.1975    
     1.60640         10.1983    
     1.60732         10.1991    
     1.61079         10.2022    
     1.61531         10.2062    
     1.61878         10.2093    
     1.61970         10.2101    
     1.62062         10.2110    
     1.62409         10.2140    
     1.62861         10.2181    
     1.63208         10.2212    
     1.63300         10.2220    
     1.63392         10.2228    
     1.63739         10.2259    
