 Elongation kappa
  rad  pla 
 1408 1006
 rho(m) kappa 
     2.94760         1.55000    
     2.94870         1.55000    
     2.94900         1.55000    
     2.94930         1.55000    
     2.95040         1.55000    
     2.95185         1.55000    
     2.95295         1.55000    
     2.95325         1.55000    
     2.95355         1.55000    
     2.95465         1.55000    
     2.95610         1.55000    
     2.95720         1.55000    
     2.95750         1.55000    
     2.95780         1.55000    
     2.95890         1.55000    
     2.96035         1.55000    
     2.96145         1.55000    
     2.96175         1.55000    
     2.96205         1.55000    
     2.96315         1.55000    
     2.96460         1.55000    
     2.96570         1.55000    
     2.96600         1.55000    
     2.96630         1.55000    
     2.96740         1.55000    
     2.96885         1.55000    
     2.96995         1.55000    
     2.97025         1.55000    
     2.97055         1.55000    
     2.97165         1.55000    
     2.97310         1.55000    
     2.97420         1.55000    
     2.97450         1.55000    
     2.97480         1.55000    
     2.97590         1.55000    
     2.97735         1.55000    
     2.97845         1.55000    
     2.97875         1.55000    
     2.97905         1.55000    
     2.98015         1.55000    
     2.98160         1.55000    
     2.98270         1.55000    
     2.98300         1.55000    
     2.98330         1.55000    
     2.98440         1.55000    
     2.98585         1.55000    
     2.98695         1.55000    
     2.98725         1.55000    
     2.98755         1.55000    
     2.98865         1.55000    
     2.99010         1.55000    
     2.99120         1.55000    
     2.99150         1.55000    
     2.99180         1.55000    
     2.99290         1.55000    
     2.99435         1.55000    
     2.99545         1.55000    
     2.99575         1.55000    
     2.99605         1.55000    
     2.99715         1.55000    
     2.99860         1.55000    
     2.99970         1.55000    
     3.00000         1.55000    
     3.00000         1.55000    
     3.00035         1.55000    
     3.00165         1.55000    
     3.00335         1.55000    
     3.00465         1.55000    
     3.00500         1.55000    
     3.00535         1.55000    
     3.00665         1.55000    
     3.00835         1.55000    
     3.00965         1.55000    
     3.01000         1.55000    
     3.01035         1.55000    
     3.01165         1.55000    
     3.01335         1.55000    
     3.01465         1.55000    
     3.01500         1.55000    
     3.01535         1.55000    
     3.01665         1.55000    
     3.01835         1.55000    
     3.01965         1.55000    
     3.02000         1.55000    
     3.02035         1.55000    
     3.02165         1.55000    
     3.02335         1.55000    
     3.02465         1.55000    
     3.02500         1.55000    
     3.02535         1.55000    
     3.02665         1.55000    
     3.02835         1.55000    
     3.02965         1.55000    
     3.03000         1.55000    
     3.03035         1.55000    
     3.03165         1.55000    
     3.03335         1.55000    
     3.03465         1.55000    
     3.03500         1.55000    
     3.03535         1.55000    
     3.03665         1.55000    
     3.03835         1.55000    
     3.03965         1.55000    
     3.04000         1.55000    
     3.04035         1.55000    
     3.04165         1.55000    
     3.04335         1.55000    
     3.04465         1.55000    
     3.04500         1.55000    
     3.04535         1.55000    
     3.04665         1.55000    
     3.04835         1.55000    
     3.04965         1.55000    
     3.05000         1.55000    
     3.05035         1.55000    
     3.05165         1.55000    
     3.05335         1.55000    
     3.05465         1.55000    
     3.05500         1.55000    
     3.05535         1.55000    
     3.05665         1.55000    
     3.05835         1.55000    
     3.05965         1.55000    
     3.06000         1.55000    
     3.06035         1.55000    
     3.06165         1.55000    
     3.06335         1.55000    
     3.06465         1.55000    
     3.06500         1.55000    
     3.06535         1.55000    
     3.06665         1.55000    
     3.06835         1.55000    
     3.06965         1.55000    
     3.07000         1.55000    
     3.07035         1.55000    
     3.07165         1.55000    
     3.07335         1.55000    
     3.07465         1.55000    
     3.07500         1.55000    
     3.07535         1.55000    
     3.07665         1.55000    
     3.07835         1.55000    
     3.07965         1.55000    
     3.08000         1.55000    
     3.08035         1.55000    
     3.08165         1.55000    
     3.08335         1.55000    
     3.08465         1.55000    
     3.08500         1.55000    
     3.08535         1.55000    
     3.08665         1.55000    
     3.08835         1.55000    
     3.08965         1.55000    
     3.09000         1.55000    
     3.09035         1.55000    
     3.09165         1.55000    
     3.09335         1.55000    
     3.09465         1.55000    
     3.09500         1.55000    
     3.09535         1.55000    
     3.09665         1.55000    
     3.09835         1.55000    
     3.09965         1.55000    
     3.10000         1.55000    
     3.10035         1.55000    
     3.10165         1.55000    
     3.10335         1.55000    
     3.10465         1.55000    
     3.10500         1.55000    
     3.10535         1.55000    
     3.10665         1.55000    
     3.10835         1.55000    
     3.10965         1.55000    
     3.11000         1.55000    
     3.11035         1.55000    
     3.11165         1.55000    
     3.11335         1.55000    
     3.11465         1.55000    
     3.11500         1.55000    
     3.11535         1.55000    
     3.11665         1.55000    
     3.11835         1.55000    
     3.11965         1.55000    
     3.12000         1.55000    
     3.12035         1.55000    
     3.12165         1.55000    
     3.12335         1.55000    
     3.12465         1.55000    
     3.12500         1.55000    
     3.12535         1.55000    
     3.12665         1.55000    
     3.12835         1.55000    
     3.12965         1.55000    
     3.13000         1.55000    
     3.13035         1.55000    
     3.13165         1.55000    
     3.13335         1.55000    
     3.13465         1.55000    
     3.13500         1.55000    
     3.13535         1.55000    
     3.13665         1.55000    
     3.13835         1.55000    
     3.13965         1.55000    
     3.14000         1.55000    
     3.14035         1.55000    
     3.14165         1.55000    
     3.14335         1.55000    
     3.14465         1.55000    
     3.14500         1.55000    
     3.14535         1.55000    
     3.14665         1.55000    
     3.14835         1.55000    
     3.14965         1.55000    
     3.15000         1.55000    
     3.15035         1.55000    
     3.15165         1.55000    
     3.15335         1.55000    
     3.15465         1.55000    
     3.15500         1.55000    
     3.15535         1.55000    
     3.15665         1.55000    
     3.15835         1.55000    
     3.15965         1.55000    
     3.16000         1.55000    
     3.16035         1.55000    
     3.16165         1.55000    
     3.16335         1.55000    
     3.16465         1.55000    
     3.16500         1.55000    
     3.16535         1.55000    
     3.16665         1.55000    
     3.16835         1.55000    
     3.16965         1.55000    
     3.17000         1.55000    
     3.17035         1.55000    
     3.17165         1.55000    
     3.17335         1.55000    
     3.17465         1.55000    
     3.17500         1.55000    
     3.17535         1.55000    
     3.17665         1.55000    
     3.17835         1.55000    
     3.17965         1.55000    
     3.18000         1.55000    
     3.18035         1.55000    
     3.18165         1.55000    
     3.18335         1.55000    
     3.18465         1.55000    
     3.18500         1.55000    
     3.18535         1.55000    
     3.18665         1.55000    
     3.18835         1.55000    
     3.18965         1.55000    
     3.19000         1.55000    
     3.19035         1.55000    
     3.19165         1.55000    
     3.19335         1.55000    
     3.19465         1.55000    
     3.19500         1.55000    
     3.19535         1.55000    
     3.19665         1.55000    
     3.19835         1.55000    
     3.19965         1.55000    
     3.20000         1.55000    
