 Elongation kappa
  rad  pla 
 1408 1006
 rho(m) kappa 
    0.760000         1.53506    
    0.761028         1.53521    
    0.764884         1.53574    
    0.769916         1.53641    
    0.773772         1.53691    
    0.774800         1.53704    
    0.775828         1.53717    
    0.779684         1.53764    
    0.784716         1.53823    
    0.788572         1.53867    
    0.789600         1.53878    
    0.790628         1.53889    
    0.794484         1.53931    
    0.799516         1.53983    
    0.803372         1.54022    
    0.804400         1.54032    
    0.805428         1.54042    
    0.809284         1.54078    
    0.814316         1.54124    
    0.818172         1.54158    
    0.819200         1.54167    
    0.820228         1.54175    
    0.824084         1.54207    
    0.829116         1.54247    
    0.832972         1.54277    
    0.834000         1.54285    
    0.835028         1.54292    
    0.838884         1.54320    
    0.843916         1.54355    
    0.847772         1.54381    
    0.848800         1.54388    
    0.849828         1.54394    
    0.853684         1.54419    
    0.858716         1.54449    
    0.862572         1.54471    
    0.863600         1.54477    
    0.864628         1.54483    
    0.868484         1.54504    
    0.873516         1.54531    
    0.877372         1.54550    
    0.878400         1.54555    
    0.879428         1.54560    
    0.883284         1.54578    
    0.888316         1.54601    
    0.892172         1.54618    
    0.893200         1.54622    
    0.894228         1.54627    
    0.898084         1.54642    
    0.903116         1.54662    
    0.906972         1.54676    
    0.908000         1.54680    
    0.909028         1.54684    
    0.912884         1.54697    
    0.917916         1.54714    
    0.921772         1.54727    
    0.922800         1.54730    
    0.923828         1.54733    
    0.927684         1.54745    
    0.932716         1.54759    
    0.936572         1.54770    
    0.937600         1.54773    
    0.938628         1.54775    
    0.942484         1.54785    
    0.947516         1.54798    
    0.951372         1.54807    
    0.952400         1.54809    
    0.953428         1.54811    
    0.957284         1.54820    
    0.962316         1.54830    
    0.966172         1.54838    
    0.967200         1.54840    
    0.968228         1.54842    
    0.972084         1.54849    
    0.977116         1.54858    
    0.980972         1.54865    
    0.982000         1.54866    
    0.983028         1.54868    
    0.986884         1.54874    
    0.991916         1.54882    
    0.995772         1.54887    
    0.996800         1.54889    
    0.997828         1.54890    
     1.00168         1.54895    
     1.00672         1.54902    
     1.01057         1.54906    
     1.01160         1.54908    
     1.01263         1.54909    
     1.01648         1.54913    
     1.02152         1.54919    
     1.02537         1.54922    
     1.02640         1.54923    
     1.02743         1.54924    
     1.03128         1.54928    
     1.03632         1.54933    
     1.04017         1.54936    
     1.04120         1.54937    
     1.04223         1.54938    
     1.04608         1.54941    
     1.05112         1.54944    
     1.05497         1.54947    
     1.05600         1.54948    
     1.05703         1.54949    
     1.06088         1.54951    
     1.06592         1.54954    
     1.06977         1.54957    
     1.07080         1.54957    
     1.07183         1.54958    
     1.07568         1.54960    
     1.08072         1.54963    
     1.08457         1.54964    
     1.08560         1.54965    
     1.08663         1.54965    
     1.09048         1.54967    
     1.09552         1.54969    
     1.09937         1.54971    
     1.10040         1.54971    
     1.10143         1.54972    
     1.10528         1.54973    
     1.11032         1.54975    
     1.11417         1.54976    
     1.11520         1.54977    
     1.11623         1.54977    
     1.12008         1.54978    
     1.12512         1.54980    
     1.12897         1.54981    
     1.13000         1.54981    
     1.13103         1.54981    
     1.13488         1.54982    
     1.13992         1.54984    
     1.14377         1.54984    
     1.14480         1.54985    
     1.14583         1.54985    
     1.14968         1.54986    
     1.15472         1.54987    
     1.15857         1.54987    
     1.15960         1.54988    
     1.16063         1.54988    
     1.16448         1.54988    
     1.16952         1.54989    
     1.17337         1.54990    
     1.17440         1.54990    
     1.17543         1.54990    
     1.17928         1.54991    
     1.18432         1.54991    
     1.18817         1.54992    
     1.18920         1.54992    
     1.19023         1.54992    
     1.19408         1.54993    
     1.19912         1.54993    
     1.20297         1.54993    
     1.20400         1.54994    
     1.20503         1.54994    
     1.20888         1.54994    
     1.21392         1.54994    
     1.21777         1.54995    
     1.21880         1.54995    
     1.21983         1.54995    
     1.22368         1.54995    
     1.22872         1.54996    
     1.23257         1.54996    
     1.23360         1.54996    
     1.23463         1.54996    
     1.23848         1.54996    
     1.24352         1.54996    
     1.24737         1.54997    
     1.24840         1.54997    
     1.24943         1.54997    
     1.25328         1.54997    
     1.25832         1.54997    
     1.26217         1.54997    
     1.26320         1.54997    
     1.26423         1.54997    
     1.26808         1.54998    
     1.27312         1.54998    
     1.27697         1.54998    
     1.27800         1.54998    
     1.27903         1.54998    
     1.28288         1.54998    
     1.28792         1.54998    
     1.29177         1.54998    
     1.29280         1.54998    
     1.29383         1.54998    
     1.29768         1.54999    
     1.30272         1.54999    
     1.30657         1.54999    
     1.30760         1.54999    
     1.30863         1.54999    
     1.31248         1.54999    
     1.31752         1.54999    
     1.32137         1.54999    
     1.32240         1.54999    
     1.32343         1.54999    
     1.32728         1.54999    
     1.33232         1.54999    
     1.33617         1.54999    
     1.33720         1.54999    
     1.33823         1.54999    
     1.34208         1.54999    
     1.34712         1.54999    
     1.35097         1.54999    
     1.35200         1.54999    
     1.35303         1.54999    
     1.35688         1.54999    
     1.36192         1.54999    
     1.36577         1.55000    
     1.36680         1.55000    
     1.36783         1.55000    
     1.37168         1.55000    
     1.37672         1.55000    
     1.38057         1.55000    
     1.38160         1.55000    
     1.38263         1.55000    
     1.38648         1.55000    
     1.39152         1.55000    
     1.39537         1.55000    
     1.39640         1.55000    
     1.39743         1.55000    
     1.40128         1.55000    
     1.40632         1.55000    
     1.41017         1.55000    
     1.41120         1.55000    
     1.41223         1.55000    
     1.41608         1.55000    
     1.42112         1.55000    
     1.42497         1.55000    
     1.42600         1.55000    
     1.42703         1.55000    
     1.43088         1.55000    
     1.43592         1.55000    
     1.43977         1.55000    
     1.44080         1.55000    
     1.44183         1.55000    
     1.44568         1.55000    
     1.45072         1.55000    
     1.45457         1.55000    
     1.45560         1.55000    
     1.45663         1.55000    
     1.46048         1.55000    
     1.46552         1.55000    
     1.46937         1.55000    
     1.47040         1.55000    
     1.47143         1.55000    
     1.47528         1.55000    
     1.48032         1.55000    
     1.48417         1.55000    
     1.48520         1.55000    
     1.48623         1.55000    
     1.49008         1.55000    
     1.49512         1.55000    
     1.49897         1.55000    
     1.50000         1.55000    
     1.50092         1.55000    
     1.50439         1.55000    
     1.50891         1.55000    
     1.51238         1.55000    
     1.51330         1.55000    
     1.51422         1.55000    
     1.51769         1.55000    
     1.52221         1.55000    
     1.52568         1.55000    
     1.52660         1.55000    
     1.52752         1.55000    
     1.53099         1.55000    
     1.53551         1.55000    
     1.53898         1.55000    
     1.53990         1.55000    
     1.54082         1.55000    
     1.54429         1.55000    
     1.54881         1.55000    
     1.55228         1.55000    
     1.55320         1.55000    
     1.55412         1.55000    
     1.55759         1.55000    
     1.56211         1.55000    
     1.56558         1.55000    
     1.56650         1.55000    
     1.56742         1.55000    
     1.57089         1.55000    
     1.57541         1.55000    
     1.57888         1.55000    
     1.57980         1.55000    
     1.58072         1.55000    
     1.58419         1.55000    
     1.58871         1.55000    
     1.59218         1.55000    
     1.59310         1.55000    
     1.59402         1.55000    
     1.59749         1.55000    
     1.60201         1.55000    
     1.60548         1.55000    
     1.60640         1.55000    
     1.60732         1.55000    
     1.61079         1.55000    
     1.61531         1.55000    
     1.61878         1.55000    
     1.61970         1.55000    
     1.62062         1.55000    
     1.62409         1.55000    
     1.62861         1.55000    
     1.63208         1.55000    
     1.63300         1.55000    
     1.63392         1.55000    
     1.63739         1.55000    
     1.64191         1.55000    
     1.64538         1.55000    
     1.64630         1.55000    
     1.64722         1.55000    
     1.65069         1.55000    
     1.65521         1.55000    
     1.65868         1.55000    
     1.65960         1.55000    
     1.66052         1.55000    
     1.66399         1.55000    
     1.66851         1.55000    
     1.67198         1.55000    
     1.67290         1.55000    
     1.67382         1.55000    
     1.67729         1.55000    
     1.68181         1.55000    
     1.68528         1.55000    
     1.68620         1.55000    
     1.68712         1.55000    
     1.69059         1.55000    
     1.69511         1.55000    
     1.69858         1.55000    
     1.69950         1.55000    
     1.70042         1.55000    
     1.70389         1.55000    
     1.70841         1.55000    
     1.71188         1.55000    
     1.71280         1.55000    
     1.71372         1.55000    
     1.71719         1.55000    
     1.72171         1.55000    
     1.72518         1.55000    
     1.72610         1.55000    
     1.72702         1.55000    
     1.73049         1.55000    
     1.73501         1.55000    
     1.73848         1.55000    
     1.73940         1.55000    
     1.74032         1.55000    
     1.74379         1.55000    
     1.74831         1.55000    
     1.75178         1.55000    
     1.75270         1.55000    
     1.75362         1.55000    
     1.75709         1.55000    
     1.76161         1.55000    
     1.76508         1.55000    
     1.76600         1.55000    
     1.76692         1.55000    
     1.77039         1.55000    
     1.77491         1.55000    
     1.77838         1.55000    
     1.77930         1.55000    
     1.78022         1.55000    
     1.78369         1.55000    
     1.78821         1.55000    
     1.79168         1.55000    
     1.79260         1.55000    
     1.79352         1.55000    
     1.79699         1.55000    
     1.80151         1.55000    
     1.80498         1.55000    
     1.80590         1.55000    
     1.80682         1.55000    
     1.81029         1.55000    
     1.81481         1.55000    
     1.81828         1.55000    
     1.81920         1.55000    
     1.82012         1.55000    
     1.82359         1.55000    
     1.82811         1.55000    
     1.83158         1.55000    
     1.83250         1.55000    
     1.83342         1.55000    
     1.83689         1.55000    
     1.84141         1.55000    
     1.84488         1.55000    
     1.84580         1.55000    
     1.84672         1.55000    
     1.85019         1.55000    
     1.85471         1.55000    
     1.85818         1.55000    
     1.85910         1.55000    
     1.86002         1.55000    
     1.86349         1.55000    
     1.86801         1.55000    
     1.87148         1.55000    
     1.87240         1.55000    
     1.87332         1.55000    
     1.87679         1.55000    
     1.88131         1.55000    
     1.88478         1.55000    
     1.88570         1.55000    
     1.88662         1.55000    
     1.89009         1.55000    
     1.89461         1.55000    
     1.89808         1.55000    
     1.89900         1.55000    
     1.89992         1.55000    
     1.90339         1.55000    
     1.90791         1.55000    
     1.91138         1.55000    
     1.91230         1.55000    
     1.91322         1.55000    
     1.91669         1.55000    
     1.92121         1.55000    
     1.92468         1.55000    
     1.92560         1.55000    
     1.92652         1.55000    
     1.92999         1.55000    
     1.93451         1.55000    
     1.93798         1.55000    
     1.93890         1.55000    
     1.93982         1.55000    
     1.94329         1.55000    
     1.94781         1.55000    
     1.95128         1.55000    
     1.95220         1.55000    
     1.95312         1.55000    
     1.95659         1.55000    
     1.96111         1.55000    
     1.96458         1.55000    
     1.96550         1.55000    
     1.96642         1.55000    
     1.96989         1.55000    
     1.97441         1.55000    
     1.97788         1.55000    
     1.97880         1.55000    
     1.97972         1.55000    
     1.98319         1.55000    
     1.98771         1.55000    
     1.99118         1.55000    
     1.99210         1.55000    
     1.99302         1.55000    
     1.99649         1.55000    
     2.00101         1.55000    
     2.00448         1.55000    
     2.00540         1.55000    
     2.00632         1.55000    
     2.00979         1.55000    
     2.01431         1.55000    
     2.01778         1.55000    
     2.01870         1.55000    
     2.01962         1.55000    
     2.02309         1.55000    
     2.02761         1.55000    
     2.03108         1.55000    
     2.03200         1.55000    
     2.03292         1.55000    
     2.03639         1.55000    
     2.04091         1.55000    
     2.04438         1.55000    
     2.04530         1.55000    
     2.04622         1.55000    
     2.04969         1.55000    
     2.05421         1.55000    
     2.05768         1.55000    
     2.05860         1.55000    
     2.05952         1.55000    
     2.06299         1.55000    
     2.06751         1.55000    
     2.07098         1.55000    
     2.07190         1.55000    
     2.07282         1.55000    
     2.07629         1.55000    
     2.08081         1.55000    
     2.08428         1.55000    
     2.08520         1.55000    
     2.08612         1.55000    
     2.08959         1.55000    
     2.09411         1.55000    
     2.09758         1.55000    
     2.09850         1.55000    
     2.09942         1.55000    
     2.10289         1.55000    
     2.10741         1.55000    
     2.11088         1.55000    
     2.11180         1.55000    
     2.11272         1.55000    
     2.11619         1.55000    
     2.12071         1.55000    
     2.12418         1.55000    
     2.12510         1.55000    
     2.12602         1.55000    
     2.12949         1.55000    
     2.13401         1.55000    
     2.13748         1.55000    
     2.13840         1.55000    
     2.13932         1.55000    
     2.14279         1.55000    
     2.14731         1.55000    
     2.15078         1.55000    
     2.15170         1.55000    
     2.15262         1.55000    
     2.15609         1.55000    
     2.16061         1.55000    
     2.16408         1.55000    
     2.16500         1.55000    
     2.16592         1.55000    
     2.16939         1.55000    
     2.17391         1.55000    
     2.17738         1.55000    
     2.17830         1.55000    
     2.17922         1.55000    
     2.18269         1.55000    
     2.18721         1.55000    
     2.19068         1.55000    
     2.19160         1.55000    
     2.19252         1.55000    
     2.19599         1.55000    
     2.20051         1.55000    
     2.20398         1.55000    
     2.20490         1.55000    
     2.20582         1.55000    
     2.20929         1.55000    
     2.21381         1.55000    
     2.21728         1.55000    
     2.21820         1.55000    
     2.21912         1.55000    
     2.22259         1.55000    
     2.22711         1.55000    
     2.23058         1.55000    
     2.23150         1.55000    
     2.23242         1.55000    
     2.23589         1.55000    
     2.24041         1.55000    
     2.24388         1.55000    
     2.24480         1.55000    
     2.24572         1.55000    
     2.24919         1.55000    
     2.25371         1.55000    
     2.25718         1.55000    
     2.25810         1.55000    
     2.25902         1.55000    
     2.26249         1.55000    
     2.26701         1.55000    
     2.27048         1.55000    
     2.27140         1.55000    
     2.27232         1.55000    
     2.27579         1.55000    
     2.28031         1.55000    
     2.28378         1.55000    
     2.28470         1.55000    
     2.28562         1.55000    
     2.28909         1.55000    
     2.29361         1.55000    
     2.29708         1.55000    
     2.29800         1.55000    
     2.29892         1.55000    
     2.30239         1.55000    
