Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   1721.01     0.00        7     0.00     0.00  longeurs_
  0.00   1721.01     0.00        6     0.00     0.00  c1tic_
  0.00   1721.01     0.00        6     0.00     0.00  i1cstr_
  0.00   1721.01     0.00        5     0.00     0.00  cuteq_
  0.00   1721.01     0.00        5     0.00     0.00  foucoj_
  0.00   1721.01     0.00        4     0.00     0.00  c1tci_
  0.00   1721.01     0.00        4     0.00     0.00  i1erif_
  0.00   1721.01     0.00        3     0.00     0.00  aqclose_
  0.00   1721.01     0.00        3     0.00     0.00  ascl_
  0.00   1721.01     0.00        2     0.00     0.00  aqopen_
  0.00   1721.01     0.00        2     0.00     0.00  asop_
  0.00   1721.01     0.00        2     0.00     0.00  bafaga_
  0.00   1721.01     0.00        2     0.00     0.00  df3tci_
  0.00   1721.01     0.00        2     0.00     0.00  e1inpl_
  0.00   1721.01     0.00        2     0.00     0.00  e1mes_
  0.00   1721.01     0.00        2     0.00     0.00  e1std_
  0.00   1721.01     0.00        2     0.00     0.00  e1sti_
  0.00   1721.01     0.00        2     0.00     0.00  fbtclo_
  0.00   1721.01     0.00        2     0.00     0.00  gausaw_
  0.00   1721.01     0.00        2     0.00     0.00  int_to_string2_
  0.00   1721.01     0.00        2     0.00     0.00  int_to_string_
  0.00   1721.01     0.00        2     0.00     0.00  s1anum_
  0.00   1721.01     0.00        2     0.00     0.00  umach_
  0.00   1721.01     0.00        2     0.00     0.00  wrp1d_
  0.00   1721.01     0.00        1     0.00     1.72  MAIN__
  0.00   1721.01     0.00        1     0.00     0.00  anjump_
  0.00   1721.01     0.00        1     0.00     0.00  axisbc_
  0.00   1721.01     0.00        1     0.00     0.01  cgefa3_
  0.00   1721.01     0.00        1     0.00     0.00  df3tri_
  0.00   1721.01     0.00        1     0.00     0.00  dfftri_
  0.00   1721.01     0.00        1     0.00     0.00  e1init_
  0.00   1721.01     0.00        1     0.00     0.00  fbtini_
  0.00   1721.01     0.00        1     0.00     0.00  filant_
  0.00   1721.01     0.00        1     0.00     0.00  groots_
  0.00   1721.01     0.00        1     0.00     0.00  iimax_
  0.00   1721.01     0.00        1     0.00     0.00  iimin_
  0.00   1721.01     0.00        1     0.00     0.00  intbfp_
  0.00   1721.01     0.00        1     0.00     0.00  isum_
  0.00   1721.01     0.00        1     0.00     0.00  iwkin_
  0.00   1721.01     0.00        1     0.00     0.00  mucrvz_
  0.00   1721.01     0.00        1     0.00     0.00  outbit_
  0.00   1721.01     0.00        1     0.00     0.00  outrff_
  0.00   1721.01     0.00        1     0.00     0.00  presol_
  0.00   1721.01     0.00        1     0.00     0.00  proini_
  0.00   1721.01     0.00        1     0.00     0.00  zgemv_

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

